review_id,review_description,rating,thumbs_up,review_date,appVersion,language_code,country_code,has_developer_response,response_delay_days,invalid_response_delay,sentiment,needs_attention,word_count,char_count,exclamation_count,question_count,uppercase_ratio,avg_word_length,review_year,review_month_num,review_month_name,review_quarter,review_day_name,is_weekend,thumbs_up_log,review_length_band,engagement_band,app_version_major,response_delay_band,responded_within_7_days,priority_score,priority_level,predicted_response_probability_oof,predicted_response_class_oof,unanswered_attention_review
81942ead-9d65-4b1a-8aa2-6e21ad5cf5e7,"Still loving it!, the best!",5,0,2024-09-03 00:23:00,23.12.04000,en,us,0,,False,Positive,0,5,27,2,0,0.037037037037037035,4.6,2024,9,Sep,Q3,Tuesday,0,0.0,Very short,No votes,23,,,22.0,Low,0.8190623674398401,1,0
c08cf1e7-45e4-43a3-b86f-51f7809b80a3,Convenient one stop app for all your passwords. Lock in with the app pw and update your other apps pws. Allows backup file to be created so that it can be used on your backup phone as well.,5,0,2024-08-19 03:32:00,23.12.04000,en,us,0,,False,Positive,0,38,189,0,0,0.015873015873015872,4.0,2024,8,Aug,Q3,Monday,0,0.0,Medium,No votes,23,,,35.2,Low,0.933682620889706,1,0
c8937763-e1b4-43b1-9e48-cde58be80111,"Tried several password managers until I came across this one. it dies everything I need to store my passwords safely. No complications like the big name managers. I tried a bunch of those, and they were a waste of tme. And expensuve. For most people, this is all you need.",5,0,2024-07-30 08:07:00,23.12.04000,en,us,0,,False,Positive,0,50,272,0,0,0.025735294117647058,4.46,2024,7,Jul,Q3,Tuesday,0,0.0,Medium,No votes,23,,,40.0,Low,0.9619721122786445,1,0
762baf4b-9109-4b4b-a42f-2291b0486faf,Ok thank you,5,0,2024-06-11 17:20:00,Unknown,en,us,0,,False,Positive,0,3,12,0,0,0.08333333333333333,3.3333333333333335,2024,6,Jun,Q2,Tuesday,0,0.0,Very short,No votes,Unknown,,,21.2,Low,0.7527073936328307,1,0
275a2d36-6d77-44ae-9d7b-8be6ad614e3f,"switched phones and none of my passwords came over to new phone, very upset.",1,0,2024-05-19 19:20:00,23.12.04000,en,us,1,2.1875,False,Negative,1,14,76,0,0,0.0,4.5,2024,5,May,Q2,Sunday,1,0.0,Short,No votes,23,2-7 days,1.0,105.6,High,0.9978828280725832,1,0
b8a5df20-4fee-49c6-843b-3df705749740,I like the simplicity of this app. It does what I want without complex steps. Stores basic details for all your user details in one place.,4,1,2024-05-06 04:16:00,23.12.04000,en,us,1,6.368055555555555,False,Positive,0,26,138,0,0,0.028985507246376812,4.346153846153846,2024,5,May,Q2,Monday,0,0.6931471805599453,Medium,Low,23,2-7 days,1.0,52.4,Medium,0.8917955481873024,1,0
e59f8058-e305-45c4-aad9-c0c7c619d22a,"Excellent, secure and easy to use app. Please keep unlimited saves free, watching ads are worth it and there's not too many of them. Another app which I was using now only lets you save 5 on free version, ONLY because it is made by a well known and more established cyber security company that's been around for decades on PC. I'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. Love the thumbprint login feature too for quicker access.",5,0,2024-04-27 03:44:00,23.12.04000,en,us,1,15.394444444444444,False,Positive,0,94,496,0,0,0.024193548387096774,4.287234042553192,2024,4,Apr,Q2,Saturday,1,0.0,Long,No votes,23,8-30 days,0.0,40.0,Low,0.8916952159620155,1,0
990b1855-5596-4d35-8280-067a4c529720,"Love this App. It's simple, secure, and great especially so you can access your Password's even if you're away from Wifi.",5,0,2024-03-01 11:01:00,23.12.04000,en,us,0,,False,Positive,0,21,121,0,0,0.04132231404958678,4.809523809523809,2024,3,Mar,Q1,Friday,0,0.0,Medium,No votes,23,,,28.4,Low,0.678327263047425,1,0
9c9153a8-32b2-4fc5-9d09-f5a29390840c,good app,4,0,2024-01-03 22:41:00,23.12.04000,en,us,0,,False,Positive,0,2,8,0,0,0.0,3.5,2024,1,Jan,Q1,Wednesday,0,0.0,Very short,No votes,23,,,40.8,Low,0.9242876701619727,1,0
a565430f-7b7a-4151-9d85-a6f93dd8389f,Easy to use and great for storing passwords. Good security.,5,0,2024-01-02 21:37:00,23.12.04000,en,us,0,,False,Positive,0,10,59,0,0,0.03389830508474576,5.0,2024,1,Jan,Q1,Tuesday,0,0.0,Short,No votes,23,,,24.0,Low,0.397342756781749,0,0
8f6e2b11-8ca7-4409-b09f-776fd117c070,Great,5,0,2023-12-16 07:35:00,23.12.04000,en,us,0,,False,Positive,0,1,5,0,0,0.2,5.0,2023,12,Dec,Q4,Saturday,1,0.0,Very short,No votes,23,,,20.4,Low,0.7581409333466737,1,0
f4546fb2-49e7-46ba-a6ed-eeb6bb92fc77,Only wish the app would autopilot and details visible without clicking on edit.,4,1,2023-10-14 01:43:00,23.09.15000,en,us,1,14.444444444444445,False,Positive,0,13,79,0,0,0.012658227848101266,5.153846153846154,2023,10,Oct,Q4,Saturday,1,0.6931471805599453,Short,Low,23,8-30 days,0.0,47.2,Medium,0.9343941188604089,1,0
935b494e-7bbd-4b6d-9d05-3e488eb1ed2b,Gote,5,0,2023-09-22 17:41:00,Unknown,en,us,0,,False,Positive,0,1,4,0,0,0.25,4.0,2023,9,Sep,Q3,Friday,0,0.0,Very short,No votes,Unknown,,,20.4,Low,0.527647114638433,1,0
64f6d3fc-1143-42b5-9e4f-4a98c3179153,💯❤️,5,0,2023-09-22 05:01:00,Unknown,en,us,1,36.30902777777778,False,Positive,0,1,3,0,0,0.0,3.0,2023,9,Sep,Q3,Friday,0,0.0,Very short,No votes,Unknown,31-180 days,0.0,20.4,Low,0.3894929330835118,0,0
c9de8ef9-20d7-4654-b214-069ea16174d6,Still I Want An Update This Is Not A Safe App Without A Recovery For Password And Email Because Sometimes They Banned Me Without Any Better Reason,1,1,2023-09-18 17:13:00,23.09.15000,en,us,1,39.803472222222226,False,Negative,1,27,146,0,0,0.18493150684931506,4.444444444444445,2023,9,Sep,Q3,Monday,0,0.6931471805599453,Medium,Low,23,31-180 days,0.0,112.8,High,0.9945831950681732,1,0
6308f390-5fc7-4caa-bd2f-267f4946e4d2,Good,5,0,2023-09-03 19:26:00,23.08.27000,en,us,1,54.7125,False,Positive,0,1,4,0,0,0.25,4.0,2023,9,Sep,Q3,Sunday,1,0.0,Very short,No votes,23,31-180 days,0.0,20.4,Low,0.34358625218222605,0,0
7993024e-c837-4c61-a577-affa5a57d8c5,"Great app, been using ot for a few years now and never had any issues. East to use and easy to sync passwords to each device.",5,0,2023-08-25 02:37:00,23.02.25000,en,us,1,0.2743055555555556,False,Positive,0,26,125,0,0,0.016,3.8461538461538463,2023,8,Aug,Q3,Friday,0,0.0,Medium,No votes,23,Within 1 day,1.0,30.4,Low,0.5880741840983349,1,0
